ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
4560349,Philadelphia,39.9523,-75.1638,19.48,94,90,3.6,US,2021-04-30 02:00:43
935215,Saint-Philippe,-21.3585,55.7679,22.7,83,90,7.72,RE,2021-04-30 02:04:32
1488931,Turinskaya Sloboda,57.6232,64.3858,4.49,72,55,3.97,RU,2021-04-30 02:04:33
3374210,São Filipe,14.8961,-24.4956,22.77,75,96,2.81,CV,2021-04-30 02:04:33
5924351,Clyde River,70.4692,-68.5914,-4.0,100,90,2.06,CA,2021-04-30 01:55:04
6255012,Flinders,-34.5833,150.8552,22.78,59,1,1.34,AU,2021-04-30 01:55:00
2732340,Mata,40.683,-7.4592,2.78,88,48,1.18,PT,2021-04-30 02:04:34
1651591,Amahai,-3.3333,128.9167,29.31,68,64,1.5,ID,2021-04-30 02:04:34
3419842,Sisimiut,66.9395,-53.6735,1.86,78,99,1.33,GL,2021-04-30 02:04:35
4218882,Rincon,32.296,-81.2354,22.78,64,40,2.57,US,2021-04-30 02:04:35
1798490,Pulandian,39.3953,121.9669,11.0,62,40,3.0,CN,2021-04-30 02:04:36
1270961,Gopālpur,19.2667,84.9167,28.63,74,0,6.16,IN,2021-04-30 02:04:36
1735106,George Town,5.4112,100.3354,28.04,83,20,2.06,MY,2021-04-30 01:54:10
608872,Makat,47.6469,53.3463,8.71,55,1,3.83,KZ,2021-04-30 02:04:37
2110227,Butaritari,3.0707,172.7902,28.79,71,100,5.75,KI,2021-04-30 01:54:52
1513491,Yangi Marg`ilon,40.4272,71.7189,19.0,30,0,2.06,UZ,2021-04-30 01:55:13
3366880,Hermanus,-34.4187,19.2345,9.44,93,58,1.54,ZA,2021-04-30 02:04:37
1490256,Talnakh,69.4865,88.3972,-1.12,91,82,1.64,RU,2021-04-30 01:55:54
6089245,Norman Wells,65.282,-126.8329,8.0,27,20,2.57,CA,2021-04-30 01:50:52
474926,Verkhniy Lomov,53.4678,43.5511,3.47,80,91,3.52,RU,2021-04-30 02:04:38
5955902,Fort Nelson,58.8053,-122.7002,9.0,57,75,1.03,CA,2021-04-30 02:04:39
2092164,Lorengau,-2.0226,147.2712,29.16,72,99,1.5,PG,2021-04-30 02:04:39
3985710,Cabo San Lucas,22.8909,-109.9124,23.44,38,1,5.14,MX,2021-04-30 02:00:15
1819729,Hong Kong,22.2855,114.1577,24.66,74,100,0.45,HK,2021-04-30 01:55:07
2122090,Pevek,69.7008,170.3133,-5.77,85,100,3.76,RU,2021-04-30 01:54:50
3470137,Belmonte,-15.8631,-38.8828,23.0,88,75,2.57,BR,2021-04-30 02:04:40
935214,Saint-Pierre,-21.3393,55.4781,22.61,83,90,7.72,RE,2021-04-30 02:04:41
2328952,Nguru,12.8791,10.4526,28.7,9,58,2.88,NG,2021-04-30 02:04:41
5314245,Show Low,34.2542,-110.0298,13.09,34,0,2.68,US,2021-04-30 01:55:31
1853483,Oyama,36.3,139.8,22.76,33,20,4.12,JP,2021-04-30 02:04:42
4501019,Camden,39.7835,-74.9663,19.44,97,100,4.1,US,2021-04-30 02:04:42
3663142,Novo Aripuanã,-5.1206,-60.3797,23.08,97,97,0.26,BR,2021-04-30 02:04:43
2264557,Ponta do Sol,32.6667,-17.1,10.78,80,31,1.34,PT,2021-04-30 01:54:49
1629380,Ruteng,-8.6136,120.4721,23.65,52,98,0.39,ID,2021-04-30 02:04:43
3652764,Puerto Ayora,-0.7393,-90.3518,23.91,87,16,3.46,EC,2021-04-30 02:04:44
2738381,Lata,40.1629,-8.3327,8.92,86,73,0.52,PT,2021-04-30 01:54:46
2094342,Kavieng,-2.5744,150.7967,29.28,69,49,3.99,PG,2021-04-30 02:04:45
1252948,Warangal,18.0,79.5833,28.84,54,4,5.9,IN,2021-04-30 02:04:45
556268,Ostrovnoy,68.0531,39.5131,-3.68,87,100,8.49,RU,2021-04-30 02:04:45
3424607,Tasiilaq,65.6145,-37.6368,-1.0,93,100,5.66,GL,2021-04-30 02:04:46
964432,Port Alfred,-33.5906,26.891,16.99,70,100,5.33,ZA,2021-04-30 02:04:46
1045114,Inhambane,-23.865,35.3833,22.21,77,0,2.47,MZ,2021-04-30 02:04:47
3013748,Hauterive,46.0901,3.4459,8.44,87,90,2.06,FR,2021-04-30 02:04:47
5880054,Barrow,71.2906,-156.7887,-7.0,86,90,2.06,US,2021-04-30 02:00:42
2071860,Esperance,-33.8667,121.9,15.0,82,90,7.72,AU,2021-04-30 02:04:48
3386177,Trairi,-3.2778,-39.2689,24.32,88,75,2.34,BR,2021-04-30 02:04:26
2122614,Okha,53.5739,142.9478,0.8,81,100,3.18,RU,2021-04-30 02:04:49
3860443,Comodoro Rivadavia,-45.8667,-67.5,19.0,45,0,2.06,AR,2021-04-30 02:03:03
733618,Asenovgrad,42.0167,24.8667,10.4,87,87,0.51,BG,2021-04-30 02:04:49
2180815,Tuatapere,-46.1333,167.6833,12.78,69,57,6.71,NZ,2021-04-30 01:54:52
1280037,Shache,38.4167,77.2406,22.12,11,0,0.96,CN,2021-04-30 02:04:50
3671450,Inírida,3.8653,-67.9239,22.29,99,100,0.11,CO,2021-04-30 02:04:50
2548885,Fes,34.0372,-4.9998,14.0,82,0,2.06,MA,2021-04-30 02:04:51
3372964,Lagoa,39.05,-27.9833,13.66,61,99,2.11,PT,2021-04-30 02:04:51
934322,Mahébourg,-20.4081,57.7,25.0,83,75,3.6,MU,2021-04-30 01:55:13
1529484,Kumul,42.8,93.45,23.94,13,3,3.29,CN,2021-04-30 02:04:52
3450083,Santa Maria,-29.6842,-53.8069,13.0,94,0,1.03,BR,2021-04-30 02:04:52
2027042,Batagay-Alyta,67.8006,130.4114,-2.47,78,25,1.4,RU,2021-04-30 01:50:54
3382160,Cayenne,4.9333,-52.3333,24.58,94,0,1.92,GF,2021-04-30 01:52:35
1253628,Ginda,30.6945,78.4932,20.64,26,4,1.41,IN,2021-04-30 02:04:53
6050066,La Ronge,55.1001,-105.2842,5.0,26,12,3.09,CA,2021-04-30 01:55:34
2088659,Panguna,-6.3164,155.4848,24.59,83,72,0.55,PG,2021-04-30 02:04:54
